姓名,工号,招生方向,方向审核人,照片下载地址,排序
张健（兼职）,wb2021071515,计算机学科方向二,0,http://faculty.cau.edu.cn/_res/articleType/teacher_CN.jpg,81
宗凯彬,2023098,计算机学科方向二,0,,
薛一鸣,93553,计算机学科方向三,1,http://faculty.cau.edu.cn/_upload/article/images/e5/6c/aff251c440ebb00449879d9d739c/c075eba7-9d97-4f33-ad10-f5be7acf4919_s.jpg,82
文娟,2016010,计算机学科方向三,0,http://faculty.cau.edu.cn/_upload/article/images/62/01/7e0e4dac4279ab2e483635adecbb/b9f1e670-4dbc-430d-914f-0b7d48cecf2a_s.jpg,83
吕春利,3124,计算机学科方向三,0,http://faculty.cau.edu.cn/_upload/article/images/f9/45/9913a4b34bf8ad01feb8f28b211b/0a9f8589-ea0f-4c42-bf4c-3a6011df7873_s.jpg,84
陶莎,2016036,计算机学科方向三,0,http://faculty.cau.edu.cn/_upload/article/images/70/d0/bd19eaa64ad39f610040acb1f68d/ca697212-51d2-4ea4-8552-9e2c78d9f3c1_s.jpg,85
李辉,9022,计算机学科方向三,0,http://faculty.cau.edu.cn/_upload/article/images/be/78/8b661e664dce962cadefe082bd36/4a5061eb-d5fb-44dc-b333-3bedd2ae7958_s.png,86
史银雪,3021,计算机学科方向三,0,http://faculty.cau.edu.cn/_upload/article/images/1b/28/abbedec84eeab355711b29e3cc0f/dbc5dc29-7770-4706-ab63-7f1f86111461_s.jpg,87
李岩（理学院）,201028,计算机学科方向三,0,http://faculty.cau.edu.cn/_upload/article/images/a3/4b/944b46c44b78acdd3b12a5abfa7d/beaa0b1d-d459-4db3-b70b-d7f46baa0cae_s.jpg,88
黄峰（理学院）,5033,计算机学科方向三,0,http://faculty.cau.edu.cn/_res/articleType/teacher_CN.jpg,89
安冬,5031,计算机学科方向四,1,http://faculty.cau.edu.cn/_upload/article/images/26/4a/c7601ade44b4a1260e275d8e664c/eb9adaae-008f-47de-b9ca-1b79628f6da1_s.jpg,90
赵然,2018095,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/d3/41/ac56833d4788a79570b00a2af435/8a24ca12-cfed-4e33-af73-0dadfa92c0dc_s.jpg,91
位耀光,5030,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/70/15/51b7f4c3409fa019425ac7bf1330/08ec2fd6-2154-4e45-a849-22a28cd9edd8_s.jpg,92
刘金存,2021002,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/83/7f/527e3f3f452d9b96daf01f4c972c/e6c485e5-8f29-4fcb-bab2-bbf085c9f6c0_s.png,93
石晨,2021084,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/de/8b/6a017f384208ad4c9bad3d24988c/a3aa9fe5-880b-4c17-98ba-c33824f75773_s.jpg,94
杨立伟,2015009,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/1c/9a/a744c43c4e7abacc7b1ad9f6d6be/880b9e98-e6e9-4e86-ad2e-bf1530efdc6f_s.jpg,95
冀荣华,2525,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/e6/2d/ef7bdd2747538eac62122e96d988/6bd41899-15b4-4655-b3bb-1e71ac915847_s.jpg,96
高红菊,7071,计算机学科方向四,0,http://ciee.cau.edu.cn/picture/0/faa062579a9144bba0e7a1c3844f05ee.jpg,97
米阳,2020147,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/13/9b/6b63bca74bf8b9c2b08bbd1f4757/9893b8a5-5f0c-441a-a3b0-f803ba8173be_s.jpg,99
徐云,2533,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/cc/e4/0a28827246839226fd036efab8b5/51f254ff-0f6d-4747-aa69-db4fae4740c2_s.jpg,100
冯磊,98522,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/a6/89/8d52cd974e10adb3cc62814353a7/6a0611c2-c91c-43e6-bad8-cfe800ca9c38_s.jpg,101
董乔雪,99505,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/73/8a/12c7dce84141a4021e6050a26de8/9c0670fc-e480-4c66-b00c-8a04b5e99912_s.png,102
孙富春（兼职）,wb2021071514,计算机学科方向四,0,http://faculty.cau.edu.cn/_res/articleType/teacher_CN.jpg,103
徐义田（理学院）,7025,计算机学科方向四,0,http://faculty.cau.edu.cn/_upload/article/images/cf/b8/7bd5c0fd49b2a24ef715e0a64fa0/7bbca428-3bda-47bd-af23-b024b1da8320_s.jpg,104
钟萍（理学院）,97542,计算机学科方向四,0,http://faculty.cau.edu.cn/_res/articleType/teacher_CN.jpg,105
经玲（理学院）,99525,计算机学科方向四,0,http://faculty.cau.edu.cn/_res/articleType/teacher_CN.jpg,106
